annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
10,Adele calpesta i sogni della figlia ,6,4
10,Carlo calcia le critiche degli invidiosi ,6,6
10,L' architetto saltella da un' idea all' altra ,5,7
10,Lo studente zoppica verso l' esame di storia,4,5
10,Lisa corre verso l' amore con ingenuità,3,5
10,Il nonno cammina tra i ricordi d' infanzia,6,6
10,L' imprenditore segue l' istinto con decisione,6,6
10,Aldo fugge dagli obblighi del matrimonio,5,6
10,Marco percorre il destino del campione,6,7
10,Sofia attraversa le difficoltà con coraggio,5,7
10,Mario arriva alla decisione con fatica,5,4
10,Il paziente salta l' appuntamento con il dottore,2,4
10,Marta giunge alla conclusione del discorso,6,7
10,Il critico entra nella discussione con foga,6,6
10,Luigi avanza tra i problemi della vita,5,5
10,Giorgio passa dalla gioia alla disperazione ,6,6
10,L' uomo raggiunge la felicità per un istante,4,7
10,La vicina scende nei particolari della storia,4,6
10,Mara inciampa negli imprevisti della vita,4,5
10,Nino esce dall' ossessione delle scommesse,6,6
10,Lo psicologo perlustra l' animo del paziente,6,6
10,L' adolescente girovaga nei sogni di successo,5,5
10,L' operaio arranca verso la paga di fine-mese,5,4
10,Elena scivola sulla domanda di filosofia,5,6
10,Il padre sgattaiola dall' impegno dei figli,6,5
10,Luca scappa dalla realtà con la meditazione,5,6
10,L' artista pedala sull' ispirazione del momento,4,7
10,Il direttore pesta i diritti dei lavoratori,6,6
10,Franco scalcia i rimorsi di coscienza,6,5
10,La ragazza passeggia tra le pagine del diario,6,6
