ID;Met_structure;Metaphor;Translation (english);Source;Author;Type_of_text;Introductory_sentence;Original_context;length_context;Structure_type;Word1;Length_topic;Frequency_topic;Concreteness_topic;Word2;Length_vehicle;Frequency_vehicle;Concreteness_vehicle;SemanticDistance;Cloze_probability_withoucontext;Familiarity_withoutcontext;Concreteness_withoutcontext;Difficulty_withoutcontext;Meaningfulness_withoutcontext;Gulpease_incontext;Cloze_probability_incontext;Familiarity_incontext;Concreteness_incontext;Difficulty_incontext;Meaningfulness_incontext;Bambini et al. (2014);IUSS NEPLab MetaLiterary study
FA_LIT513;Genitive;pelle di rame;skin of copper;Donne e fanciulle;Zuccoli, Luciano;PROSE;;"Non mi
dirai che quella pelle di rame con quegli occhi di porcellana e i
capelli di tutti i colori siano gli attributi d'una bella donna.";26;TV;pelle;5;425;4,701;rame;4;23;4,595;0,798;;;;;;;;;;;;N;Y
FA_LIT225;Genitive;bocca di fiamma;mouth of flame;"La messa di nozze; Un sogno; La bella morte";De Roberto, Federico;PROSE;;"Non si
scorgeva nulla sulle reti di spuma distendentisi e dissolventisi
incessantemente: solo la bocca di fiamma del salvagente luminoso ardeva
ancora, sballottata dalle onde";22;TV;bocca;5;322;4,721;fiamma;6;151;4,013;0,813;;;;;;;;;;;;N;Y
FA_LIT529;Genitive;braccia di velluto;velvet arms;Esilio;Negri, Ada;POEM;;"E lungo e lunge, muto
    e scalzo, fra le braccia di velluto
    sorreggendola, il Sonno la portò.";23;TV;braccia;7;480;4,75;velluto;7;42;4,51;0,807;;;;;;;;;;;;N;Y
FA_LIT286;Genitive;collo di fiamma;neck of flame;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Più tardi, al mio ritorno nella casa paterna,
  cominciava una dolce serata famigliare,
  sotto la lampada ch'erge il suo collo di fiamma
  arrotondando ali di luce sul desco,
  per covare i miei desideri
  tra lo scrollìo dei suoi raggi pennuti,
  simile ad una gallina dall'uova magiche, d'oro.";58;TV;collo;5;179;4,926;fiamma;6;151;4,013;0,75;;;;;;;;;;;;N;Y
FA_LIT190;Genitive;petto di fuoco;chest of fire;Il trampolino per le stelle: Tre dialoghi e due racconti;D'Ambra, Lucio;PROSE;;"Ora un colpo di tosse, atroce, gli spezza il petto di fuoco. E,
ricadendo sui cuscini, il malato geme";18;TV;petto;5;102;4,979;fuoco;5;609;4,179;0,86;;;;;;;;;;;;N;Y
FA_LIT292;Genitive;lagrime di morte;tears of death;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Oh! per un solo momento divertiamoci dunque
  a singhiozzar sulla voce illusoria
  d'una zampogna lontana che mi piange
  in fondo alla memoria melodie
  appassite e tremanti sulle ciglia
  come lagrime di morte";38;TV;lagrime;7;176;4,115;morte;5;815;3,138;0,814;;;;;;;;;;;;N;Y
FA_LIT527;Genitive;lenzuol di luna;sheets of moon;Esilio;Negri, Ada;POEM;;"Voglio dormire in un lenzuol di luna
    come una principessa di leggenda;
    e della Lattea Via farmi una benda
    maravigliosa alla gran chioma bruna.";33;TV;lenzuol;7;61;4,569;luna;4;181;4,145;0,801;;;;;;;;;;;;N;Y
FA_LIT300;Genitive;rantolo di morte;death rattle;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Chi verrà
  a morsicar fino al sangue,
  in un rantolo di morte,
  le tue mammelle dalle punte di fuoco
  che scattan contro Dio, nelle tempeste";29;TV;rantolo;7;9;;morte;5;815;3,138;0,908;;;;;;;;;;;;N;Y
FA_LIT452;Genitive;sudori di sangue;sweat of blood;Un cavallo nella luna: Novelle;Pirandello, Luigi;PROSE;;"di levarlo di catena non era
neanche da parlarne perchè, sciolto, il cane se ne sarebbe tornato a
casa, e lui lì aveva da guardarsi quei suoi benefici che gli costavano
sudori di sangue";31;TV;sudori;6;44;4,282;sangue;6;473;4,181;0,669;;;;;;;;;;;;N;Y
FA_LIT117;Genitive;fervore di luce;fervor of light;Novelle umoristiche;Albertazzi, Adolfo;PROSE;;"il suo sguardo a poco a poco avvertiva come un
fervore di luce che s'andava definendo in un miraggio di felicità";21;VT;fervore;4;730;3,437;luce;7;25;2,614;0,772;;;;;;;;;;;;Y;N
FA_LIT263;Genitive;ombra di felicità;shadow of happiness;Le ore inutili: novelle;Guglielminetti, Amalia;PROSE;;"Ma quella che va sola ancora sa
    tratto tratto pel suo vagabondare
    trovar un'ombra di felicità";23;VT;ombra;8;153;2,747;felicità;5;265;2,845;0,713;;;;;;;;;;;;N;Y
FA_LIT155;Genitive;ombra di dolore;shadow of sorrow;La montanara;Barrilli, Anton Giulio;PROSE;;"È un'ombra di dolore, lo so; ma dovete cacciarla egualmente, come se fosse un'ombra di peccato";18;VT;ombra;6;349;3,288;dolore;5;265;2,845;0,769;;;;;;;;;;;;N;Y
FA_LIT157;Genitive;ombra di peccato;shadow of sin;La montanara;Barrilli, Anton Giulio;PROSE;;"È un'ombra di dolore, lo so; ma dovete cacciarla egualmente, come se fosse un'ombra di peccato";18;VT;ombra;7;178;2,743;peccato;5;265;2,845;0,776;;;;;;;;;;;;N;Y
FA_LIT364;Genitive;ombra di sogno;shadow of dream;Maternità;Negri, Ada;POEM;;"T’avvolge la mia chioma nera,
    ombra di sogno e sfavillìo di spada.";15;VT;ombra;5;554;3,246;sogno;5;265;2,845;0,723;;;;;;;;;;;;N;Y
FA_LIT434;Genitive;ombra di tedio;shadow of tedium;La lanterna di Diogene;Panzini, Alfredo;PROSE;;"«Concedi — o divina — che io
pure gusti il sapore delle carni che vestono la tua anima, e di cui già
altri saziasti». Anima? coscienza? pensiero? ombra di tedio interiore?";29;VT;ombra;5;1;;tedio;5;265;2,845;0,691;;;;;;;;;;;;N;Y
FA_LIT070;Genitive;ombra di tristezza;shadow of sadness;Una vita;Svevo;PROSE;In questo brano un uomo saluta un collega che va in congedo.;"""Beato lei che va a casa"", e un'ombra di tristezza passò sul suo largo volto. Ah! egli non pensava che a sé stesso, al permesso che aveva avuto il mese innanzi e che gli toglieva il diritto di chiederne altri per ben due anni.";45;VT;ombra;9;55;2,886;tristezza;5;265;2,845;0,645;0;3,867;1,733;2,4;3,8;;;;;;;Y;N
FA_LIT069;Genitive;ombra del vento;shadow of the wind;Il ritorno;Campana;POEM;Questo brano descrive il vento e il suo potere sulla natura.;L'acqua il vento \ La sanità delle prime cose - \ Il lavoro umano sull'elemento \ Liquido - la natura che conduce \ Strati di rocce su strati - il vento \ Che scherza nella valle - ed ombra del vento \ La nuvola - il lontano ammonimento \ Del fiume nella valle - \ E la rovina del contrafforte - la frana \ La vittoria dell'elemento - il vento \ Che scherza nella valle.;78;VT;ombra;5;334;3,83;vento;5;265;2,845;0,629;0;2,4;2;3,6;2,533;;;;;;;Y;N
FA_LIT194;Genitive;ribellioni di orgoglio;rebellions of pride;Le Novelle della Pescara;D'Annunzio, Gabriele;PROSE;;"Tutti i villici ruppero l'ordine, e attorniarono La Bravetta; alcuni
con risa di beffa, altri con parole irose. Le ribellioni di orgoglio
subitanee e brutali che ha l'onore della gente campestre, le severità
implacabili della superstizione scoppiarono d'improvviso in una
tempesta di contumelie";42;VT;ribellioni;8;110;2,596;orgoglio;10;42;2,908;0,633;;;;;;;;;;;;N;Y
FA_LIT064;Genitive;oblio della valle;oblivion of the valley;Myricae;Pascoli;POEM;Questo brano descrive una passeggiata in una foresta.;"Errai nell'oblio della valle \ tra ciuffi di stipe fiorite, \ tra quercie rigonfie di galle; \ errai nella macchia più sola, \ per dove tra foglie marcite \ spuntava l'azzurra viola; \ errai per i botri solinghi: \ la cincia vedeva dai pini: \ sbuffava i suoi piccoli ringhi \ argentini.";54;VT;oblio;5;83;4,144;valle;5;10;2,947;0,826;0;2;1,8;2,6;3,533;;;;;;;Y;N
FA_LIT291;Genitive;intreccio di lampi;weave of lightning;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Sei tu ancora, vecchio Sol seminudo,
  che passi in un intreccio di lampi
  sull'orizzonte?";17;VT;intreccio;5;61;3,899;lampi;9;48;2,955;0,646;;;;;;;;;;;;N;Y
FA_LIT401;Genitive;battaglie di idee;battles of ideas;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"Invece, dell'uomo nessuna grandezza di pensiero appari dalla sua vita
di oramai un secolo, quando prete, vescovo e poi cardinale, poteva
appunto nella minore importanza degli uffici meglio significare
la propria originalità fra tante battaglie di idee religiose e
scientifiche";37;VT;battaglie;4;1058;2,155;idee;9;335;3,015;0,575;;;;;;;;;;;;N;Y
FA_LIT151;Genitive;sapore di comicità;flavor of comedy;Carlo Porta e la sua Milano;Barbiera, Raffaello;PROSE;;"Gli episodi della funebre funzione, fra' quali la comparsa d'un soldato
francese, che suscita col solo suo aspetto i livori, la bile degli
officianti, nemici naturali di coloro che li perseguitavano, dànno
forte sapore di comicità al componimento, il cui fondo è serio e
lugubre";43;VT;sapore;8;33;2,601;comicità;6;103;3,032;0,708;;;;;;;;;;;;N;Y
FA_LIT119;Genitive;miraggio di felicità;mirage of happiness;Novelle umoristiche;Albertazzi, Adolfo;PROSE;;"il suo sguardo a poco a poco avvertiva come un
fervore di luce che s'andava definendo in un miraggio di felicità";21;VT;miraggio;8;153;2,747;felicità;8;23;3,036;0,906;;;;;;;;;;;;Y;N
FA_LIT131;Genitive;gioia di tetti;joy of roofs;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;;"Ritmo, ritrovata adolescenza,
    gioia del colore,
    occhi verdi di sole sul greto,
    scheggiato turchese immenso dell'onde,
    biondezza di cirri e di rupi,
    rosea gioia di tetti,
    colore, ritmo,
    come una bianconera rondine
    l'anima ti solca.";61;VT;gioia;5;154;4,748;tetti;5;235;3,051;0,798;;;;;;;;;;;;N;Y
FA_LIT095;Genitive;soffio di paura;whiff of fear;Il Giovenile Errore;Gozzano;POEM;Questo brano racconta la fuga da una banchina ghiacciata.;""".... cri.... i.... i.... i.... icch...."" … \ l’incrinatura \ il ghiaccio rabescò, stridula e viva. \ ""A riva!"" Ognuno guadagnò la riva \ disertando la crosta malsicura. \ ""A riva! A riva!..."" Un soffio di paura \ disperse la brigata fuggitiva.";42;VT;soffio;5;698;2,739;paura;6;50;3,079;0,731;0;2,6;1,733;2,667;3,133;;;;;;;Y;N
FA_LIT271;Genitive;anime di profumi;souls of perfume;L'ora topica di Carlo Dossi;Lucini, Gian Pietro;PROSE;;Dai cofanetti de' ricordi, leviamo viole essicate e suscitiamo anime di profumi trapassati colle ciarpe e le sete di un tempo;22;VT;anime;7;159;3,93;profumi;5;341;3,102;0,735;;;;;;;;;;;;N;Y
FA_LIT210;Genitive;respiro di luce;breath of light;Nuove storie d'ogni colore;De Marchi, Emilio;PROSE;;"Le cupole bizantine del vicino teatro Dal
Verme si appiattavano anch'esse nella notte, senza un respiro di luce,
come la carcassa capovolta di un immane bastimento";25;VT;respiro;4;730;3,437;luce;7;84;3,13;0,668;;;;;;;;;;;;N;Y
FA_LIT085;Genitive;respiro del mare;breath of the sea;Il Piacere;D’Annunzio;PROSE;In questo brano un uomo, Andrea, riflette guardando il mare.;Andrea Sperelli si riaffacciava all'esistenza in cospetto del mare. Poiché ancora in noi la natura simpatica persiste e poiché la nostra vecchia anima abbracciata dalla grande anima naturale palpita ancora a tal contatto, il convalescente misurava il suo respiro sul largo e tranquillo respiro del mare ergeva il suo corpo a similitudine de' validi alberi.;57;VT;respiro;4;630;4,007;mare;7;84;3,13;0,647;0;2,867;2,2;2,667;3,2;46;0,53;2,6;1,93;2,93;2,8;Y;N
FA_LIT378;Genitive;onde di fumo;waves of smoke;Al di là;Oriani, Alfredo;PROSE;;"Dall'orlo estremo della
roccia, sulla quale già irrompeva la lava in onde di fumo e di fuoco,
spiccare un salto e giù nell'abisso: più nulla, eternamente più nulla.";28;VT;onde;4;117;3,846;fumo;4;171;3,135;0,792;;;;;;;;;;;;N;Y
FA_LIT078;Genitive;onde di venti;waves of the winds;Poesie Varie;Pascoli;POEM;Questo brano parla dello scoramento di un uomo.;Triste son io: degli uomini i dolori \ e i gridi del mio cuore escono lenti \ senz'eco, e come vaste onde di venti \ dileguan lungi tra inaccessi orrori.;31;VT;onde;5;334;3,457;venti;4;171;3,135;0,685;0;3,133;2,533;3,133;2,467;57;0;2,07;2;2,67;3;Y;N
FA_LIT014;Genitive;canto dell'acqua;song of the water;Il ritorno;Campana;PROSE;Un uomo ricorda la terra natale.;Conosco un quadro perduto tra lo splendore dell'arte fiorentina colla sua parola di dolce nostalgia: è il figliuol prodigo all'ombra degli alberi della casa paterna. Letteratura? Non so. Il mio ricordo, l'acqua è così. Dopo gli sfondi spirituali senza spirito, dopo l'oro crepuscolare, dolce come il canto dell'onnipresente tenebra è il canto dell'acqua sotto le rocce.;62;VT;canto;5;1113;4,232;acqua;5;143;3,138;0,781;0;2,533;2;2,067;3,6;64;0,07;1,87;1,6;2,87;2,93;Y;N
FA_LIT375;Genitive;estasi di fiori;ecstasy of flowers;L'Imperatore Giovanni l'Apostata;Negri, Gaetano;PROSE;;"A riva è tutta un'estasi
        Di fiori e di canzoni.";18;VT;estasi;5;410;4,523;fiori;6;26;3,17;0,626;;;;;;;;;;;;N;Y
FA_LIT002;Genitive;affanno dei venti;breathlessness of the winds;Primi Poemetti;Pascoli;POEM;In questo brano si fa riferimento alla solitudine delle rondini.;O rondinella nata in oltremare! \ Quando vanno le rondini, e qui resta \ il nido solo, oh! che dolente andare! \ Non c'è più cibo qui per loro, e mesta \ la terra e freddo è il cielo, tra l'affanno \ dei venti e lo scrosciar della tempesta.;51;VT;affanno;5;334;3,457;venti;7;33;3,182;0,809;0;1,867;1,933;3,267;2,533;76;0;1,6;1,4;2,93;2,73;Y;N
FA_LIT112;Genitive;voci dei fiumi;voices of the rivers;Canti di Castelvecchio;Pascoli;POEM;In questo brano l'autore descrive un paesaggio naturale durante l'inverno.;E chiudo i vetri. Il freddo mi percuote, \ l'acqua mi sferza, mi respinge il vento. \ Non più gli scoppiettii, ma le remote \ voci dei fiumi ma sgrondare io sento \ sempre più l'acqua, rotolare il tuono.;41;VT;voci;5;275;4,039;fiumi;4;1023;3,247;0,734;0;2,333;1,867;2,667;3;71;0;1,73;1,4;3,53;2,27;Y;N
FA_LIT094;Genitive;silenzio degli occhi;silence of the eyes;L’Allegria;Ungaretti;POEM;Questo brano descrive il risveglio di un soldato.;Dondolo di ali in fumo \ mozza il silenzio degli occhi \ Col vento si spippola il corallo \ di una sete di baci;24;VT;silenzio;5;1297;4,098;occhi;8;381;3,254;0,727;0;3,067;2,333;2,6;3,267;;;;;;;Y;N
FA_LIT373;Genitive;alone di note;halo of notes;Esilio;Negri, Ada;POEM;;"Canti come ridi,
    come parli. Hai nel canto una ragione
    di vita. Ondeggi e splendi in un alone
    di note";30;VT;alone;4;2;3,353;note;5;15;3,269;0,888;;;;;;;;;;;;N;Y
FA_LIT372;Genitive;voce di campane;voice of bells;Dal profondo;Negri, Ada;POEM;;"Malinconia delle città lontane
    ove le sembra d’essere sperduta,
    ove ogni cosa agli occhi, al cuore è muta,
    voce di folla e voce di campane";36;VT;voce;7;36;4,516;campane;4;1023;3,286;0,694;;;;;;;;;;;;N;Y
FA_LIT459;Genitive;ombre di morte;shadows of death;Lucifero;Rapisardi, Mario;POEM;;"Dormite! Una parola
    Fremono i vostri sonni; e da le chiuse
    Ombre di morte una gran luce emerge:
    Vivono al raggio d'una fiamma sola
    Le umane anime";40;VT;ombre;5;815;3,138;morte;5;265;3,288;0,769;;;;;;;;;;;;N;Y
FA_LIT071;Genitive;ombre di pace;shadows of peace;Mal Giocondo;Pirandello;POEM;In questo brano si descrive una scena campestre.;Incende il vespro ad onor nostro e gloria \ pacatamente i piani e freschi effluvi, \ quasi sospiri, i novi fior ci mandano \ dai variopinti calici. \ Il fronte molle di sudor da l'opera \ grave gli adusti agricoltori levano \ a noi guardare, e con letizia esclamano: \ Ombre di pace, amateci. \ È sogno pien di luce e pieno d'aria.;65;VT;ombre;4;401;2,756;pace;5;265;3,288;0,826;0;2,067;1,4;2,867;2,4;65;0;1,33;1;3,73;2,93;Y;N
FA_LIT410;Genitive;fioritura di uomini;bloom of men;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"Da Thiers a Waldek-Rousseau, forse la Francia non vide mai alla sommità
del proprio governo più ricca fioritura di uomini illustri e più
presto mietuti nelle battaglie parlamentari";26;VT;fioritura;6;3243;3,473;uomini;9;27;3,303;0,854;;;;;;;;;;;;N;Y
FA_LIT139;Genitive;sogni di pietra;dreams of stone;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;;"Ecco pianeggianti
giardini, fontane, magnolie in fiore, e anche grigi sogni di pietra,
castelli grigi tra rami spogli stillanti di pioggia contro il sole come
portentose ragnatele";24;VT;sogni;6;220;4,602;pietra;5;1;3,312;0,707;;;;;;;;;;;;N;Y
FA_LIT412;Genitive;groviglio di corruzione;tangle of corruption;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"la sua aristocrazia non ha
più che partigiani, la sua incomparabile borghesia comunale è appena
una clientela, il suo popolo un groviglio di corruzione e di barbarie";25;VT;groviglio;10;138;2,317;corruzione;9;21;3,327;0,759;;;;;;;;;;;;N;Y
FA_LIT137;Genitive;ritmo di disperazione;rhythm of despair;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;;"piedi che han seguito
l'infelice nel suo passo oscillante, in un ugual ritmo di violenza e di
disperazione";17;VT;ritmo;12;102;3,017;disperazione;5;254;3,367;0,752;;;;;;;;;;;;N;Y
FA_LIT017;Genitive;cecità del sonno;blindness of the sleep;Il Piacere;D’Annunzio;PROSE;Questo brano è l'inizio della pagina del diario di una giovane donna.;"Ho portato su la loggia il vaso delle rose; e son rimasta là qualche minuto ad ascoltare la notte, tenuta là dal rammarico di perdere nella cecità del sonno ore che passano sotto un cielo così bello.";37;VT;cecità;5;193;3,58;sonno;6;9;3,374;0,769;0;2,2;1,4;2,6;3;;;;;;;Y;N
FA_LIT455;Genitive;abissi di morte;chasms of death;Lucifero;Rapisardi, Mario;POEM;;"Piansi perduto il mio nome, o spronai
    Negli abissi di morte il mio destriero;
    Ma tenni fronte al fato reo; mi accinsi
    Ad imprese più belle, e venni e vinsi";39;VT;abissi;5;815;3,138;morte;6;29;3,398;0,621;;;;;;;;;;;;N;Y
FA_LIT049;Genitive;grido delle campane;cry of the bells;Canti di Castelvecchio;Pascoli;POEM;Questo brano contiene una riflessione sul passato e il presente della vita umana.;"O ciaramelle degli anni primi, \ d'avanti il giorno, d'avanti il vero, \ or che le stelle son là sublimi, \ conscie del nostro breve mistero; \ che non ancora si pensa al pane, \ che non ancora s'accende il fuoco; \ prima del grido delle campane \ fateci dunque piangere un poco.";56;VT;grido;7;36;4,516;campane;5;150;3,401;0,718;0;3,4;2,733;2,467;2,733;51;0,27;2,2;2;2,27;3,87;Y;N
FA_LIT048;Genitive;grido dell'anima;cry of the soul;Il Piacere;D’Annunzio;PROSE;Questo brano parla dei tormenti di un uomo durante la guerra.;Da prima, fu come un'angoscia confusa, tumultuaria, piena di palpiti inconsapevoli. Affascinato dal tramonto bellicoso, egli non anche giungeva a veder chiaramente in se medesimo. Ma, quando la cenere del crepuscolo piovve spegnendo ogni guerra e il mare sembrò un'immensa palude plumbea, egli credé udire nell'ombra il grido dell'anima, il grido d'altre anime.;58;VT;grido;5;341;2,726;anima;5;150;3,401;0,763;0,067;3;1,267;2,467;3,133;52;0;2,87;1,67;2,73;2,4;Y;N
FA_LIT063;Genitive;oasi di capelli;oasis of hair;La coscienza di Zeno;Svevo;PROSE;Questo brano descrive l'aspetto fisico di un uomo.;Non lo avevo visto da anni tanto da vicino ed ora, con l'avversione che mi manifestava, si era conquistata la mia più intensa attenzione. Egli aveva allora circa quarant'anni ed era ben brutto per una calvizie quasi generale interrotta da un'oasi di capelli neri e fitti alla nuca e un'altra alle tempie.;56;VT;oasi;7;400;4,361;capelli;4;24;3,416;0,933;0;1,8;2,467;3,067;1,733;55;0,47;2,33;2,47;2,47;2,47;Y;N
FA_LIT090;Genitive;scintilla di senape;spark of mustard;L’isola del giorno prima;Eco;PROSE;Questo brano descrive un uomo piccolo.;Soggetto a cui parlare con cautela per tema che il fiato non lo soffi via, sostanza così piccola da non esser passibile di colore, scintilla di senape, corpiciattolo che non ha nulla di più e nulla di meno di quello che mai ebbe.;43;VT;scintilla;6;17;4,651;senape;9;28;3,428;0,836;0;1,4;1,867;4;1,667;53;0;1,4;1,47;4,2;2,2;Y;N
FA_LIT200;Genitive;luce di gaudio;light of joy;Forse che sì forse che no;D'Annunzio, Gabriele;PROSE;;"Una chiara pace era nell'aria; ma il petto dell'amante si gonfiava d'un fervore grave come un affanno. In tutta quella luce di gaudio pareva ch'ella sentisse la spina di passione custodita nel tabernacolo di marmo
e di preghiera sospeso su la ripa";45;VT;luce;6;5;3,403;gaudio;4;730;3,437;0,732;;;;;;;;;;;;N;Y
FA_LIT524;Genitive;luce di poesia;light of poetry;;;;;"Non tutti i fannulloni sono di questa ideale perfezione, ma anche
i fannulloni volgari sono insopportabili e spandono intorno a sè
una nebbia di noia, che smorza ogni fuoco d'entusiasmo, che
appanna ogni luce di poesia";34;VT;luce;6;153;2,934;poesia;4;730;3,437;0,801;;;;;;;;;;;;N;Y
FA_LIT470;Genitive;luce di sorriso;light of smile;Casta diva;Rovetta, Gerolamo;PROSE;;"Dagli occhi della piccina, che non ha ancora cenato, sparisce a un
tratto ogni luce di sorriso e non vi restan più che le lacrime.";24;VT;luce;7;309;3,849;sorriso;4;730;3,437;0,986;;;;;;;;;;;;N;Y
FA_LIT389;Genitive;luce di trionfo;light of triumph;Fino a Dogali;Oriani, Alfredo;PROSE;;"nelle frequenti clamorose discussioni pochi riuscivano
ad intendersi; ma da tutte il suo carattere sacerdotale usciva
radiante in una luce di trionfo";20;VT;luce;7;98;2,964;trionfo;4;730;3,437;0,958;;;;;;;;;;;;N;Y
FA_LIT510;Genitive;ondate di profumo;waves of perfume;L'amore di Loredana;Zuccoli;PROSE;;"E l'aria intorno era divina, rotta
da lievi ondate di profumo che venivano dai giacinti";15;VT;ondate;7;159;3,979;profumo;6;63;3,44;0,765;;;;;;;;;;;;N;Y
FA_LIT143;Genitive;eco di luce;echo of light;Momenti: Liriche;Aleramo, Sibilla;POEM;;"Fragranza lenta
    e guizzi in stanza
    a sera,
    pace del fuoco,
    eco di luce,
    la pigna in brace,
    tutte le foreste lungi";40;VT;eco;4;730;3,437;luce;3;77;3,454;0,796;;;;;;;;;;;;N;Y
FA_LIT518;Genitive;agonia di luce;agony of light;L'amore di Loredana;Zùccoli, Luciano;PROSE;;"Il Lido piaceva a lui, come a tutti i veneziani, per agonia di luce, di
verde, di spazio, d'aria diffusa";20;VT;agonia;4;730;3,437;luce;6;29;3,461;0,687;;;;;;;;;;;;N;Y
FA_LIT290;Genitive;fardello di tenebre;burden of darkness;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Le case invecchiaron da un'ora, ed eccole curve
  sotto un fardello di tenebre";16;VT;fardello;7;30;3,129;tenebre;8;11;3,469;0,795;;;;;;;;;;;;N;Y
FA_LIT184;Genitive;fantasmi di dolore;ghosts of pain;Il Miraggio: Romanzo;D'Ambra Lucio;PROSE;;"I cattivi sogni marciavano in nero drappello verso di lui, così che,
quando più tardi egli si destò al fracasso dello sportello spalancato
alla stazione di Orvieto, un incubo doloroso lo opprimeva, con tanti
fantasmi di dolore e di tristezza";37;VT;fantasmi;6;349;3,288;dolore;8;114;3,475;0,815;;;;;;;;;;;;N;Y
FA_LIT344;Genitive;furore di gloria;fury of glory;La giovine Italia;Mazzini;PROSE;;"ma
dove non è virtú di sagrificio né furore di gloria, dove nei cuori non
vive un’eco alle grandi passioni";18;VT;furore;6;77;3,403;gloria;6;28;3,49;0,82;;;;;;;;;;;;N;Y
FA_LIT274;Genitive;folgore di ribellione;thunderbolt of rebellion;L'ora topica di Carlo Dossi;Lucini, Gian Pietro;PROSE;;"il Demone gli porse in mano una penna temprata
come uno stile, acuta, incisiva, incorruttibile, elastica, inossidabile
qualunque fosse l'inchiostro dentro cui s'inzuppasse, acqua, lagrime,
sangue, mota, cielo, coscienza umana, egoismo, folgore di ribellione e
paradisiache bontà umiliate";36;VT;folgore;10;42;2,726;ribellione;7;8;3,507;0,727;;;;;;;;;;;;N;Y
FA_LIT442;Genitive;onda di gioventù;wave of youth;Prose (1880-1890);Pascarella, Cesare;PROSE;;"A quell'invito egli si sentì affluire il sangue in faccia; per un
attimo un'onda di gioventù gli circolò nelle vene";21;VT;onda;8;57;3,317;gioventù;4;171;3,512;0,859;;;;;;;;;;;;N;Y
FA_LIT504;Genitive;onda di amarezza;wave of bitterness;Lirica;Vivanti, Annie;POEM;;"M'ha invaso l'alma e scolorato il viso
    Un'onda d'amarezza e di dolore";19;VT;onda;8;59;2,414;amarezza;4;171;3,512;0,82;;;;;;;;;;;;N;Y
FA_LIT365;Genitive;onda di amore;wave of love;Maternità;Negri, Ada;POEM;;"uno spasimo strano, una diffusa
    onda di amore irruppe ne la chiusa
    sua vita";21;VT;onda;5;1153;2,978;amore;4;171;3,512;0,717;;;;;;;;;;;;N;Y
FA_LIT196;Genitive;onda di angoscia;wave of anguish;Le Novelle della Pescara;D'Annunzio, Gabriele;PROSE;;"il petto esile tra i risvolti dell'abito nero si
sollevava, quasi a trattenere un'onda di angoscia irrompente";18;VT;onda;8;124;2,792;angoscia;4;171;3,512;0,683;;;;;;;;;;;;N;Y
FA_LIT074;Genitive;onda di lamento;wave of moan;Poesie Varie;Pascoli;PROSE;Questo brano parla di un'atmosfera angosciante.;Nell'aria grigia e morta \ c'è un'onda di lamento. \ Qualcuno urta la porta.;17;VT;onda;7;30;3,356;lamento;4;171;3,512;0,869;0;2,6;1,667;2,733;2,533;89;0;2;1,8;2,73;3,07;Y;N
FA_LIT072;Genitive;onda della musica;wave of the music;Il Piacere;D’Annunzio;PROSE;Questo brano descrive la sala appena prima l'inizio di un concerto.;"L'uditorio componevasi, in massima parte, di dame straniere; ed era un uditorio biondo, pieno di modestia nelli abiti, pieno di raccoglimento nelle attitudini, silenzioso e religioso come in un luogo pio. L'onda della musica passava su teste immobili, coperte di cappelli scuri, dilatandosi in una luce aurea, in una luce che fluiva dall'alto, temperata dalle tendine gialle, schiarita dalle pareti bianche e nude.";66;VT;onda;6;568;3,298;musica;4;171;3,512;0,725;0;3,067;2,4;2,467;3,467;;;;;;;Y;N
FA_LIT073;Genitive;onda della preghiera;wave of the prayer;Il Libro delle Vergini;D’Annunzio;POEM;Questo brano descrive le sensazioni di un uomo e della sua donna, Giacinta.;"Io e Giacinta eravamo stretti l'uno contro l'altra. Una specie di affievolimento cominciava a prendermi, un calore intenso mi saliva alla faccia; aveva una sensazione strana di tutto quell'agglomeramento di uomini sopra cui passava l'onda della preghiera, nell'ombra rotta dai bagliori tremoli dell'altare.";49;VT;onda;9;100;3,498;preghiera;4;171;3,512;0,821;0;2,333;2,133;3,333;2,067;48;0;1,53;1,47;2,87;3,27;Y;N
FA_LIT076;Genitive;onda di riconoscenza;wave of gratitude;Senilità;Svevo;PROSE;In questo brano una donna, Amalia, trova conforto tra le braccia di un'amica.;"Non subito Amalia comprese che in quel bicchiere le era offerto un refrigerio; poi bevve a piccoli sorsi, avidamente. Quando si lasciò ricadere sul guanciale trovò un nuovo sollievo: il morbido braccio di Elena vi si era steso e la sua testina riposava ora sorretta con pietà. Un'onda di riconoscenza gonfiò il petto ad Emilio.";56;VT;onda;12;18;2,557;riconoscenza;4;171;3,512;0,81;0;1,933;1,533;3,133;2,6;57;0;2,73;1,47;2,53;2,4;Y;N
